fare_id,price,currency_type,payment_method,transfers,agency_id
1,1.50,EUR,0,0,100047
2,1.90,EUR,0,0,295
3,1.00,EUR,0,0,295
4,2.05,EUR,0,0,295
5,0.65,EUR,0,0,295
6,1.25,EUR,0,0,295
7,1.50,EUR,0,0,295
8,1.30,EUR,0,0,295
9,1.85,EUR,0,0,295
10,0.75,EUR,0,0,295
11,1.70,EUR,0,0,295
12,0.95,EUR,0,0,295
13,1.55,EUR,0,0,295
14,1.75,EUR,0,0,295
15,1.15,EUR,0,0,295
16,0.80,EUR,0,0,295
17,1.35,EUR,0,0,295
18,1.10,EUR,0,0,295
19,0.70,EUR,0,0,295
20,0.90,EUR,0,0,295
21,1.05,EUR,0,0,295
22,1.45,EUR,0,0,295
23,1.20,EUR,0,0,295
24,1.80,EUR,0,0,295
25,2.25,EUR,0,0,295
26,0.85,EUR,0,0,295
27,1.60,EUR,0,0,295
28,1.40,EUR,0,0,295
29,1.95,EUR,0,0,295
30,1.65,EUR,0,0,295
31,2.10,EUR,0,0,295
32,2.15,EUR,0,0,295
33,2.00,EUR,0,0,295
34,2.20,EUR,0,0,295
35,1.50,EUR,0,0,31
36,1.50,EUR,0,0,50
37,1.00,EUR,0,0,50
38,1.90,EUR,0,0,50
39,1.50,EUR,0,0,60
40,1.00,EUR,0,0,60
41,1.90,EUR,0,0,60
42,2.80,EUR,0,0,295
43,3.70,EUR,0,0,295
44,4.60,EUR,0,0,295
45,2.35,EUR,0,0,295
46,2.30,EUR,0,0,295
47,2.40,EUR,0,0,295
48,5.50,EUR,0,0,50
49,4.00,EUR,0,0,50
50,6.00,EUR,0,0,50
51,2.50,EUR,0,0,50
52,7.00,EUR,0,0,50
53,4.50,EUR,0,0,50
54,3.50,EUR,0,0,50
55,6.50,EUR,0,0,50
56,5.00,EUR,0,0,50
57,3.00,EUR,0,0,50
58,2.00,EUR,0,0,50
59,7.50,EUR,0,0,50
60,2.80,EUR,0,0,50
61,3.70,EUR,0,0,50
62,2.45,EUR,0,0,295
63,2.55,EUR,0,0,295
64,2.50,EUR,0,0,295
65,1.60,EUR,0,0,317
66,3.00,EUR,0,0,317
67,0.90,EUR,0,0,317
68,4.40,EUR,0,0,317
69,2.30,EUR,0,0,317
70,3.70,EUR,0,0,317
71,5.10,EUR,0,0,317
72,10.00,EUR,0,0,50
73,8.50,EUR,0,0,50
74,7.90,EUR,0,0,50
75,7.70,EUR,0,0,50
76,3.10,EUR,0,0,50
77,5.20,EUR,0,0,50
78,7.60,EUR,0,0,50
79,5.10,EUR,0,0,50
80,8.00,EUR,0,0,50
81,3.80,EUR,0,0,50
82,2.30,EUR,0,0,50
83,4.80,EUR,0,0,50
84,4.40,EUR,0,0,50
85,2.10,EUR,0,0,50
86,1.60,EUR,0,0,50
87,3.90,EUR,0,0,50
